meta_id,post_id,meta_key,meta_value
160,66,_regular_price,279
161,66,_thumbnail_id,0
162,66,_price,279
163,67,_regular_price,549
164,67,_thumbnail_id,0
165,67,_price,549
166,68,_regular_price,849
167,68,_thumbnail_id,0
168,68,_price,849
169,65,_price,279
170,65,_price,549
171,65,_price,849
172,69,_wp_attached_file,2024/05/5-1.png
173,69,_wp_attachment_metadata,"a:6:{s:5:""width"";i:500;s:6:""height"";i:500;s:4:""file"";s:15:""2024/05/5-1.png"";s:8:""filesize"";i:17224;s:5:""sizes"";a:4:{s:6:""medium"";a:5:{s:4:""file"";s:15:""5-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:9707;}s:9:""thumbnail"";a:5:{s:4:""file"";s:15:""5-1-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:4215;}s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:15:""5-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:9707;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:15:""5-1-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:2325;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
174,65,_thumbnail_id,69
175,70,_edit_last,1
176,70,_edit_lock,1715073470:1
177,70,total_sales,0
178,70,_tax_status,taxable
179,70,_tax_class,
180,70,_manage_stock,no
181,70,_backorders,no
182,70,_sold_individually,no
183,70,_virtual,no
184,70,_downloadable,no
185,70,_download_limit,-1
186,70,_download_expiry,-1
187,70,_stock,
188,70,_stock_status,instock
189,70,_wc_average_rating,0
190,70,_wc_review_count,0
191,70,_product_attributes,"a:1:{s:7:""storlek"";a:6:{s:4:""name"";s:7:""storlek"";s:5:""value"";s:4:""400g"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:0;}}"
192,70,_product_version,8.8.2
193,71,_variation_description,
194,71,total_sales,0
195,71,_tax_status,taxable
196,71,_tax_class,parent
197,71,_manage_stock,no
198,71,_backorders,no
199,71,_sold_individually,no
200,71,_virtual,no
201,71,_downloadable,no
202,71,_download_limit,-1
203,71,_download_expiry,-1
204,71,_stock,
205,71,_stock_status,instock
206,71,_wc_average_rating,0
207,71,_wc_review_count,0
208,71,attribute_storlek,400g
209,71,_product_version,8.8.2
210,71,_regular_price,39
211,71,_thumbnail_id,0
212,71,_price,39
213,70,_price,39
214,72,_wp_attached_file,2024/05/6-1.png
